"busco.0at7399.faa.phy",22,10259
"busco.10001at7399.faa.phy",25,823
"busco.10019at7399.faa.phy",27,860
"busco.10025at7399.faa.phy",15,860
"busco.10027at7399.faa.phy",28,1093
"busco.10029at7399.faa.phy",24,558
"busco.1004at7399.faa.phy",12,1972
"busco.10055at7399.faa.phy",5,731
"busco.10058at7399.faa.phy",26,1233
"busco.10068at7399.faa.phy",12,990
"busco.10075at7399.faa.phy",31,639
"busco.10076at7399.faa.phy",29,577
"busco.1007at7399.faa.phy",9,2110
"busco.10080at7399.faa.phy",29,605
"busco.10089at7399.faa.phy",25,2579
"busco.10092at7399.faa.phy",26,550
"busco.10094at7399.faa.phy",20,671
"busco.10099at7399.faa.phy",25,590
"busco.10108at7399.faa.phy",30,1309
"busco.1010at7399.faa.phy",30,2256
"busco.10116at7399.faa.phy",24,542
"busco.10122at7399.faa.phy",25,915
"busco.10127at7399.faa.phy",32,478
"busco.10128at7399.faa.phy",25,808
"busco.10129at7399.faa.phy",18,786
"busco.1012at7399.faa.phy",22,3031
"busco.10148at7399.faa.phy",28,1576
"busco.10153at7399.faa.phy",18,581
"busco.10155at7399.faa.phy",30,509
"busco.10159at7399.faa.phy",24,643
"busco.10161at7399.faa.phy",18,1098
"busco.1016at7399.faa.phy",16,2219
"busco.10170at7399.faa.phy",21,552
"busco.10176at7399.faa.phy",26,638
"busco.10177at7399.faa.phy",18,753
"busco.10181at7399.faa.phy",27,798
"busco.1018at7399.faa.phy",18,2440
"busco.10191at7399.faa.phy",28,546
"busco.10198at7399.faa.phy",19,956
"busco.10202at7399.faa.phy",26,1948
"busco.10217at7399.faa.phy",29,590
"busco.10228at7399.faa.phy",16,2068
"busco.10229at7399.faa.phy",30,550
"busco.1022at7399.faa.phy",16,2643
"busco.10230at7399.faa.phy",27,565
"busco.10233at7399.faa.phy",11,593
"busco.10245at7399.faa.phy",24,487
"busco.10248at7399.faa.phy",27,936
"busco.10249at7399.faa.phy",32,542
"busco.10259at7399.faa.phy",7,846
"busco.10263at7399.faa.phy",29,1095
"busco.10265at7399.faa.phy",18,1217
"busco.10266at7399.faa.phy",28,898
"busco.10267at7399.faa.phy",25,692
"busco.10269at7399.faa.phy",12,663
"busco.10270at7399.faa.phy",16,785
"busco.10273at7399.faa.phy",31,1171
"busco.10275at7399.faa.phy",33,2964
"busco.10281at7399.faa.phy",20,551
"busco.10286at7399.faa.phy",25,752
"busco.10287at7399.faa.phy",12,505
"busco.10290at7399.faa.phy",29,577
"busco.102at7399.faa.phy",10,5033
"busco.10302at7399.faa.phy",22,767
"busco.10305at7399.faa.phy",32,1570
"busco.10306at7399.faa.phy",19,1168
"busco.10311at7399.faa.phy",31,1338
"busco.10317at7399.faa.phy",24,740
"busco.10319at7399.faa.phy",9,666
"busco.10328at7399.faa.phy",21,788
"busco.10332at7399.faa.phy",34,871
"busco.10348at7399.faa.phy",34,697
